SteamGen_capacity,Converter1_capacity,NewBOP_capacity,Charger_capacity,TES_capacity,Convert2_capacity,Grid_capacity,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-NewBOP_capacity,ProbabilityWeight-Charger_capacity,prefix,ProbabilityWeight,ProbabilityWeight-TES_capacity,PointProbability
203.0,-203.0,-220.0,-203.0,900.0,-203.0,-1e+200,257611424.341,1915820.06234,257725168.333,260797538.185,253879531.155,255088537.763,260791319.126,20.0,3.67036651126e+12,0.04,0.00980392156863,51,3.26797385621e-05,0.0833333333333,2.17864923747e-08
203.0,-203.0,-220.0,-203.0,1000.0,-203.0,-1e+200,256659130.709,2303497.22273,256442231.991,261282431.337,251154655.843,253563460.348,259871990.137,20.0,5.30609945512e+12,0.04,0.00980392156863,52,3.26797385621e-05,0.0833333333333,2.17864923747e-08
203.0,-203.0,-220.0,-203.0,1100.0,-203.0,-1e+200,254299893.795,1765647.16248,254701125.444,256800925.429,250780721.999,251401312.172,256601036.479,20.0,3.11750990236e+12,0.04,0.00980392156863,53,3.26797385621e-05,0.0833333333333,2.17864923747e-08
203.0,-203.0,-220.0,-203.0,1200.0,-203.0,-1e+200,252256250.022,2067408.89411,252319487.248,255838009.984,248819214.885,249028765.062,255426749.296,20.0,4.27417953544e+12,0.04,0.00980392156863,54,1.92810457516e-05,0.0491666666667,2.17864923747e-08
203.0,-203.0,-210.0,-203.0,200.0,-203.0,-1e+200,259601317.881,2017714.24993,259569080.65,263995594.349,256522853.127,257116754.493,262073922.72,20.0,4.07117079437e+12,0.034,0.00980392156863,58,2.77777777778e-05,0.0833333333333,2.17864923747e-08
203.0,-203.0,-220.0,-203.0,1218.0,-203.0,-1e+200,252510594.613,2428419.93882,252476485.832,256853988.836,248841169.241,249547975.995,256387292.89,20.0,5.89722339925e+12,0.04,0.00980392156863,55,1.6339869281e-05,0.0416666666667,2.17864923747e-08
203.0,-203.0,-220.0,-203.0,1300.0,-203.0,-1e+200,251056236.686,2019298.91794,251427899.034,253974223.144,247989379.273,248112310.52,253920033.169,20.0,4.07756812001e+12,0.04,0.00980392156863,56,1.33986928105e-05,0.0341666666667,2.17864923747e-08
203.0,-203.0,-210.0,-203.0,300.0,-203.0,-1e+200,256427174.538,2403541.54479,256288571.966,263068854.781,252921556.168,253088712.167,259850315.033,20.0,5.77701195751e+12,0.034,0.00980392156863,59,2.77777777778e-05,0.0833333333333,2.17864923747e-08
203.0,-203.0,-210.0,-203.0,400.0,-203.0,-1e+200,254890907.571,1833744.83981,254671803.548,258118233.462,251657303.727,252680654.746,257369419.267,20.0,3.36262013751e+12,0.034,0.00980392156863,60,2.77777777778e-05,0.0833333333333,2.17864923747e-08
203.0,-203.0,-210.0,-203.0,500.0,-203.0,-1e+200,253092217.207,2746170.18331,252511916.888,257022064.381,247778394.934,248752120.181,256892939.049,20.0,7.54145067569e+12,0.034,0.00980392156863,61,2.77777777778e-05,0.0833333333333,2.17864923747e-08
