hours,price
880.0,41.05
881.0,37.18
882.0,40.57
883.0,41.79
884.0,30.71
885.0,27.24
886.0,25.9
887.0,19.31
888.0,16.68
889.0,14.25
890.0,11.44
891.0,9.09
892.0,9.18
893.0,12.29
894.0,17.03
895.0,23.73
896.0,23.15
897.0,23.08
898.0,23.95
899.0,26.48
900.0,30.75
901.0,32.8
902.0,40.08
903.0,47.69
904.0,55.38
905.0,45.65
906.0,42.22
907.0,44.13
908.0,31.37
909.0,29.24
910.0,24.74
911.0,20.59
912.0,20.5
913.0,17.71
914.0,17.11
915.0,17.12
916.0,17.15
917.0,17.83
918.0,20.36
919.0,33.35
920.0,28.81
921.0,26.86
922.0,24.64
923.0,23.64
924.0,23.71
925.0,24.79
926.0,24.63
927.0,25.33
928.0,24.79
929.0,24.25
930.0,25.19
931.0,31.07
932.0,25.35
933.0,23.11
934.0,21.6
935.0,14.18
936.0,11.77
937.0,9.42
938.0,9.02
939.0,7.68
940.0,8.67
941.0,9.69
942.0,14.51
943.0,22.82
944.0,22.75
945.0,22.55
946.0,24.22
947.0,24.88
948.0,24.97
949.0,27.47
950.0,27.77
951.0,29.9
952.0,30.05
953.0,27.71
954.0,31.72
955.0,33.19
956.0,26.26
957.0,23.41
958.0,22.7
959.0,14.64
960.0,11.87
961.0,13.38
962.0,8.82
963.0,6.75
964.0,8.18
965.0,8.56
966.0,13.05
967.0,18.64
968.0,20.98
969.0,22.07
970.0,23.05
971.0,23.96
972.0,24.54
973.0,27.46
974.0,34.42
975.0,34.71
976.0,35.2
977.0,33.34
978.0,37.18
979.0,40.35
980.0,26.31
981.0,24.03
982.0,23.61
983.0,20.14
984.0,15.53
985.0,15.17
986.0,12.7
987.0,7.45
988.0,7.24
989.0,5.67
990.0,6.89
991.0,14.05
992.0,14.98
993.0,18.15
994.0,19.95
995.0,22.64
996.0,22.34
997.0,26.93
998.0,30.21
999.0,35.19
1000.0,32.47
1001.0,30.08
1002.0,33.1
1003.0,36.02
1004.0,29.48
1005.0,24.86
1006.0,23.99
1007.0,19.95
1008.0,17.48
1009.0,16.79
1010.0,16.14
1011.0,15.86
1012.0,16.59
1013.0,17.66
1014.0,19.98
1015.0,23.5
1016.0,21.8
1017.0,22.48
1018.0,23.21
1019.0,23.39
1020.0,22.76
1021.0,23.16
1022.0,23.39
1023.0,23.9
1024.0,23.24
1025.0,23.1
1026.0,24.28
1027.0,39.95
1028.0,27.48
1029.0,23.36
1030.0,23.11
1031.0,20.41
1032.0,20.09
1033.0,17.74
1034.0,16.77
1035.0,15.83
1036.0,16.48
1037.0,17.13
1038.0,19.32
1039.0,23.95
1040.0,24.26
1041.0,22.5
1042.0,22.76
1043.0,23.3
1044.0,22.57
1045.0,21.93
1046.0,23.16
1047.0,22.4
1048.0,22.38
1049.0,22.48
1050.0,23.34
1051.0,35.01
1052.0,25.33
1053.0,23.83
1054.0,22.32
1055.0,19.38
1056.0,20.06
1057.0,18.1
1058.0,17.58
1059.0,17.53
1060.0,17.52
1061.0,18.07
1062.0,19.9
1063.0,28.38
1064.0,27.6
1065.0,24.62
1066.0,23.98
1067.0,23.01
1068.0,23.05
1069.0,22.33
1070.0,21.01
1071.0,20.12
1072.0,19.85
1073.0,20.6
1074.0,22.41
1075.0,37.85
1076.0,28.02
1077.0,25.57
1078.0,23.5
1079.0,21.43
1080.0,19.95
1081.0,18.93
1082.0,17.78
1083.0,17.54
1084.0,17.45
1085.0,18.02
1086.0,20.95
1087.0,35.69
1088.0,32.0
1089.0,24.5
1090.0,23.19
1091.0,22.8
1092.0,22.59
1093.0,22.81
1094.0,22.19
1095.0,21.83
1096.0,21.09
1097.0,19.91
1098.0,21.09
1099.0,26.02
1100.0,21.56
1101.0,21.35
1102.0,20.53
1103.0,15.72
1104.0,13.2
1105.0,12.08
1106.0,11.46
1107.0,10.62
1108.0,10.52
1109.0,12.29
1110.0,14.69
1111.0,24.59
1112.0,24.2
1113.0,24.28
1114.0,23.9
1115.0,23.48
1116.0,22.59
1117.0,22.3
1118.0,22.86
1119.0,22.62
1120.0,21.22
1121.0,21.66
1122.0,22.87
1123.0,29.61
1124.0,22.42
1125.0,21.86
1126.0,20.69
1127.0,16.55
1128.0,14.08
1129.0,15.15
1130.0,14.68
1131.0,15.06
1132.0,14.95
1133.0,17.1
1134.0,18.73
1135.0,18.95
1136.0,20.54
1137.0,21.61
1138.0,23.51
1139.0,25.29
1140.0,25.34
1141.0,27.93
1142.0,34.93
1143.0,34.68
1144.0,29.18
1145.0,27.94
1146.0,24.05
1147.0,27.92
1148.0,21.92
1149.0,22.63
1150.0,20.91
1151.0,18.44
1152.0,15.15
1153.0,14.62
1154.0,12.28
1155.0,10.18
1156.0,10.81
1157.0,12.7
1158.0,12.84
1159.0,17.38
1160.0,18.13
1161.0,19.82
1162.0,19.95
1163.0,21.09
1164.0,21.49
1165.0,21.85
1166.0,22.52
1167.0,22.81
1168.0,22.59
1169.0,24.01
1170.0,25.16
1171.0,46.55
1172.0,23.37
1173.0,22.36
1174.0,21.55
1175.0,18.94
1176.0,17.75
1177.0,17.58
1178.0,16.2
1179.0,16.08
1180.0,16.16
1181.0,17.55
1182.0,18.57
1183.0,21.99
1184.0,21.3
1185.0,21.68
1186.0,23.45
1187.0,22.61
1188.0,23.09
1189.0,23.96
1190.0,24.88
1191.0,26.24
1192.0,25.11
1193.0,24.5
1194.0,28.89
1195.0,54.82
1196.0,34.99
1197.0,24.61
1198.0,22.08
1199.0,20.91
1200.0,19.15
1201.0,16.77
1202.0,14.76
1203.0,13.6
1204.0,11.81
1205.0,15.46
1206.0,17.59
1207.0,22.38
1208.0,19.95
1209.0,19.9
1210.0,20.41
1211.0,21.01
1212.0,19.96
1213.0,21.03
1214.0,21.89
1215.0,21.45
1216.0,21.95
1217.0,22.91
1218.0,26.16
1219.0,46.0
1220.0,24.98
1221.0,22.92
1222.0,21.41
1223.0,19.63
1224.0,18.33
1225.0,17.91
1226.0,17.15
1227.0,16.35
1228.0,16.41
1229.0,16.36
1230.0,18.55
1231.0,23.88
1232.0,20.66
1233.0,20.3
1234.0,20.66
1235.0,21.41
1236.0,22.04
1237.0,22.64
1238.0,24.8
1239.0,26.17
1240.0,34.19
1241.0,27.46
1242.0,26.59
1243.0,33.54
1244.0,23.13
1245.0,22.69
1246.0,21.85
1247.0,16.34
1248.0,13.25
1249.0,9.17
1250.0,5.77
1251.0,4.59
1252.0,4.68
1253.0,5.44
1254.0,10.28
1255.0,21.01
1256.0,20.2
1257.0,21.14
1258.0,21.17
1259.0,25.86
1260.0,23.6
1261.0,23.87
1262.0,28.96
1263.0,31.08
1264.0,33.5
1265.0,32.7
1266.0,28.19
1267.0,32.1
1268.0,22.14
1269.0,23.78
1270.0,20.41
1271.0,16.31
1272.0,10.88
1273.0,12.95
1274.0,8.79
1275.0,6.57
1276.0,10.66
1277.0,14.91
1278.0,16.87
1279.0,22.83
1280.0,21.65
1281.0,23.02
1282.0,23.29
1283.0,26.04
1284.0,27.42
1285.0,28.8
1286.0,33.81
1287.0,42.45
1288.0,39.24
1289.0,39.42
1290.0,33.97
1291.0,36.52
1292.0,26.42
1293.0,24.49
1294.0,24.3
1295.0,20.16
1296.0,18.85
1297.0,15.73
1298.0,15.24
1299.0,15.17
1300.0,15.36
1301.0,15.79
1302.0,17.13
1303.0,19.86
1304.0,21.69
1305.0,24.66
1306.0,28.48
1307.0,25.01
1308.0,22.1
1309.0,20.23
1310.0,19.71
1311.0,19.24
1312.0,19.43
1313.0,18.89
1314.0,18.55
1315.0,21.9
1316.0,19.36
1317.0,21.08
1318.0,18.98
1319.0,14.23
1320.0,11.43
1321.0,8.83
1322.0,8.22
1323.0,8.42
1324.0,8.93
1325.0,9.57
1326.0,12.31
1327.0,17.98
1328.0,17.54
1329.0,19.29
1330.0,19.39
1331.0,20.31
1332.0,19.82
1333.0,19.94
1334.0,19.05
1335.0,19.02
1336.0,20.03
1337.0,19.66
1338.0,19.95
1339.0,31.77
1340.0,21.67
1341.0,20.97
1342.0,19.15
1343.0,17.3
1344.0,16.27
1345.0,16.39
1346.0,13.38
1347.0,13.01
1348.0,12.75
1349.0,15.09
1350.0,16.92
1351.0,21.19
1352.0,20.27
1353.0,22.66
1354.0,23.16
1355.0,23.35
1356.0,25.5
