hours,price
831.0,38.49
832.0,37.86
833.0,38.68
834.0,47.9
835.0,48.89
836.0,45.3
837.0,44.89
838.0,42.64
839.0,39.65
840.0,38.13
841.0,38.02
842.0,36.97
843.0,37.28
844.0,37.05
845.0,36.8
846.0,37.67
847.0,38.91
848.0,41.49
849.0,50.82
850.0,55.46
851.0,53.22
852.0,49.85
853.0,41.88
854.0,39.52
855.0,38.7
856.0,38.77
857.0,39.0
858.0,44.94
859.0,47.95
860.0,45.9
861.0,43.04
862.0,40.18
863.0,39.23
864.0,35.72
865.0,37.33
866.0,36.58
867.0,36.05
868.0,35.48
869.0,35.49
870.0,37.21
871.0,39.84
872.0,42.87
873.0,47.04
874.0,47.57
875.0,45.34
876.0,40.64
877.0,38.57
878.0,37.54
879.0,36.42
880.0,36.82
881.0,38.87
882.0,51.86
883.0,55.86
884.0,50.06
885.0,49.6
886.0,44.53
887.0,41.28
888.0,37.44
889.0,34.58
890.0,33.87
891.0,33.65
892.0,33.98
893.0,34.31
894.0,40.46
895.0,45.55
896.0,49.54
897.0,48.95
898.0,48.78
899.0,49.28
900.0,45.74
901.0,42.56
902.0,40.74
903.0,39.9
904.0,39.52
905.0,40.27
906.0,50.96
907.0,54.45
908.0,50.35
909.0,50.66
910.0,42.12
911.0,38.73
912.0,36.76
913.0,36.67
914.0,35.36
915.0,34.61
916.0,35.01
917.0,35.62
918.0,40.34
919.0,47.27
920.0,50.03
921.0,50.97
922.0,52.2
923.0,51.43
924.0,47.39
925.0,44.41
926.0,43.61
927.0,43.61
928.0,43.42
929.0,45.56
930.0,62.56
931.0,79.83
932.0,72.42
933.0,66.29
934.0,57.18
935.0,47.41
936.0,43.68
937.0,45.44
938.0,44.15
939.0,44.02
940.0,44.92
941.0,46.8
942.0,56.29
943.0,88.76
944.0,96.21
945.0,70.6
946.0,63.95
947.0,61.32
948.0,54.23
949.0,47.94
950.0,45.02
951.0,43.45
952.0,43.12
953.0,45.04
954.0,61.51
955.0,73.07
956.0,66.02
957.0,63.01
958.0,56.42
959.0,48.76
960.0,44.17
961.0,44.56
962.0,41.98
963.0,42.09
964.0,43.36
965.0,44.79
966.0,50.48
967.0,72.96
968.0,84.08
969.0,70.42
970.0,70.04
971.0,68.36
972.0,57.97
973.0,51.82
974.0,49.0
975.0,47.62
976.0,46.32
977.0,50.53
978.0,75.77
979.0,92.16
980.0,79.48
981.0,76.72
982.0,66.68
983.0,56.03
984.0,50.72
985.0,45.62
986.0,44.6
987.0,44.36
988.0,45.35
989.0,48.3
990.0,55.05
991.0,100.44
992.0,105.98
993.0,69.01
994.0,59.29
995.0,52.11
996.0,46.76
997.0,41.19
998.0,39.94
999.0,38.68
1000.0,37.52
1001.0,39.09
1002.0,50.8
1003.0,50.92
1004.0,46.86
1005.0,46.33
1006.0,42.67
1007.0,39.26
1008.0,36.9
1009.0,38.94
1010.0,37.31
1011.0,37.17
1012.0,36.9
1013.0,36.92
1014.0,38.0
1015.0,46.61
1016.0,50.82
1017.0,54.41
1018.0,52.57
1019.0,46.78
1020.0,42.11
1021.0,36.97
1022.0,33.95
1023.0,33.55
1024.0,32.99
1025.0,34.1
1026.0,41.39
1027.0,45.44
1028.0,41.41
1029.0,39.5
1030.0,38.6
1031.0,35.42
1032.0,34.12
1033.0,33.02
1034.0,32.34
1035.0,31.65
1036.0,31.15
1037.0,31.05
1038.0,32.7
1039.0,37.14
1040.0,38.73
1041.0,39.58
1042.0,38.01
1043.0,38.14
1044.0,35.21
1045.0,33.81
1046.0,32.93
1047.0,32.16
1048.0,31.78
1049.0,32.58
1050.0,39.34
1051.0,47.51
1052.0,45.91
1053.0,43.73
1054.0,40.8
1055.0,34.84
1056.0,32.46
1057.0,29.86
1058.0,29.03
1059.0,28.7
1060.0,28.75
1061.0,29.72
1062.0,32.83
1063.0,45.24
1064.0,50.85
1065.0,44.47
1066.0,45.56
1067.0,42.42
1068.0,39.4
1069.0,38.14
1070.0,36.99
1071.0,36.67
1072.0,36.3
1073.0,37.26
1074.0,50.9
1075.0,62.56
1076.0,49.75
1077.0,46.84
1078.0,43.57
1079.0,36.47
1080.0,32.6
1081.0,32.75
1082.0,32.06
1083.0,31.17
1084.0,30.82
1085.0,32.45
1086.0,36.79
1087.0,63.94
1088.0,67.12
1089.0,50.56
1090.0,47.93
1091.0,44.94
1092.0,41.51
1093.0,38.78
1094.0,37.32
1095.0,35.99
1096.0,35.45
1097.0,37.8
1098.0,49.71
1099.0,59.85
1100.0,49.55
1101.0,48.83
1102.0,43.72
1103.0,37.68
1104.0,33.14
1105.0,32.68
1106.0,32.06
1107.0,31.63
1108.0,31.77
1109.0,33.0
1110.0,38.82
1111.0,61.76
1112.0,64.44
1113.0,47.61
1114.0,41.5
1115.0,40.88
1116.0,39.69
1117.0,36.49
1118.0,35.0
1119.0,33.91
1120.0,33.77
1121.0,33.54
1122.0,40.8
1123.0,48.33
1124.0,43.34
1125.0,40.16
1126.0,36.57
1127.0,32.66
1128.0,30.22
1129.0,29.91
1130.0,28.84
1131.0,28.26
1132.0,28.14
1133.0,29.47
1134.0,31.79
1135.0,40.17
1136.0,46.36
1137.0,41.13
1138.0,40.2
1139.0,39.61
1140.0,36.38
1141.0,35.08
1142.0,34.61
1143.0,33.28
1144.0,32.93
1145.0,33.24
1146.0,39.08
1147.0,44.46
1148.0,41.18
1149.0,38.79
1150.0,34.55
1151.0,31.53
1152.0,29.55
1153.0,26.67
1154.0,25.71
1155.0,24.88
1156.0,24.88
1157.0,25.55
1158.0,27.5
1159.0,35.31
1160.0,39.73
1161.0,39.11
1162.0,38.22
1163.0,38.29
1164.0,36.83
1165.0,34.96
1166.0,34.0
1167.0,33.24
1168.0,33.14
1169.0,32.49
1170.0,36.3
1171.0,39.25
1172.0,37.57
1173.0,37.14
1174.0,33.8
1175.0,30.47
1176.0,28.39
1177.0,30.41
1178.0,28.9
1179.0,28.47
1180.0,28.49
1181.0,29.11
1182.0,30.39
1183.0,33.47
1184.0,35.93
1185.0,38.33
1186.0,40.1
1187.0,39.94
1188.0,38.53
1189.0,35.79
1190.0,33.37
1191.0,32.24
1192.0,32.46
1193.0,32.81
1194.0,39.75
1195.0,49.29
1196.0,43.06
1197.0,41.2
1198.0,39.62
1199.0,36.37
1200.0,33.04
1201.0,35.84
1202.0,35.29
1203.0,34.63
