iteration,accepted,SteamGen_capacity,Converter1_capacity,NewBOP_capacity,Charger_capacity,TES_capacity,Convert2_capacity,Grid_capacity,mean_NPV,std_NPV,med_NPV
103.0,rerun,203.0,-203.0,-408.322971593,-203.144548014,1041.62335267,-203.0,-1e+200,306007273.738,431333.751636,306002720.809
104.0,accepted,203.0,-203.0,-408.322970326,-203.144547945,1041.62334458,-203.0,-1e+200,306083866.877,569518.656076,306027498.582
105.0,rejected,203.0,-203.0,-408.322971283,-203.144548099,1041.62334847,-203.0,-1e+200,306031495.258,459091.284776,306134510.376
106.0,rerun,203.0,-203.0,-408.322970326,-203.144547945,1041.62334458,-203.0,-1e+200,305895569.871,359280.843592,305806768.375
107.0,accepted,203.0,-203.0,-408.322970531,-203.144547994,1041.62333959,-203.0,-1e+200,306056231.855,564941.190938,305989280.358
108.0,rejected,203.0,-203.0,-408.32297026,-203.144548009,1041.62334441,-203.0,-1e+200,305899191.665,396159.468095,305830312.973
109.0,rerun,203.0,-203.0,-408.322970531,-203.144547994,1041.62333959,-203.0,-1e+200,306001777.611,434676.001844,305952542.206
110.0,accepted,203.0,-203.0,-408.322970445,-203.144548092,1041.62334019,-203.0,-1e+200,306041982.285,338502.575937,305997119.757
111.0,accepted,203.0,-203.0,-408.322970485,-203.144548146,1041.62334393,-203.0,-1e+200,306058540.451,401257.059042,306085582.161
112.0,rejected,203.0,-203.0,-408.32296934,-203.144548172,1041.62334607,-203.0,-1e+200,306046435.682,542275.60288,306122429.494
113.0,rerun,203.0,-203.0,-408.322970485,-203.144548146,1041.62334393,-203.0,-1e+200,305987848.001,392011.146973,305844366.272
114.0,accepted,203.0,-203.0,-408.322971264,-203.144548168,1041.62334281,-203.0,-1e+200,306036583.145,365770.41338,306095413.537
115.0,accepted,203.0,-203.0,-408.322971608,-203.144548102,1041.62334249,-203.0,-1e+200,306093851.988,329326.873733,306216870.968
116.0,rejected,203.0,-203.0,-408.322970976,-203.144548107,1041.62334473,-203.0,-1e+200,305912299.475,385889.521305,305965452.117
117.0,rerun,203.0,-203.0,-408.322971608,-203.144548102,1041.62334249,-203.0,-1e+200,305933688.488,321979.875563,305893465.446
118.0,accepted,203.0,-203.0,-408.322971615,-203.144548075,1041.62334006,-203.0,-1e+200,306156464.577,517895.544119,306236609.38
119.0,rejected,203.0,-203.0,-408.322971824,-203.144548033,1041.62333903,-203.0,-1e+200,306029405.59,369643.471227,306074721.499
120.0,rerun,203.0,-203.0,-408.322971615,-203.144548075,1041.62334006,-203.0,-1e+200,305978492.28,606453.180197,306030030.917
121.0,accepted,203.0,-203.0,-408.322971405,-203.144548096,1041.62333949,-203.0,-1e+200,306192308.297,397642.516227,306253081.796
122.0,rejected,203.0,-203.0,-408.322971251,-203.144548074,1041.62333917,-203.0,-1e+200,306001271.072,493872.677359,306002952.513
123.0,rerun,203.0,-203.0,-408.322971405,-203.144548096,1041.62333949,-203.0,-1e+200,305931847.251,422334.773572,305968253.493
124.0,accepted,203.0,-203.0,-408.322971269,-203.144548096,1041.62333977,-203.0,-1e+200,306168144.587,383528.437327,306214707.165
125.0,rejected,203.0,-203.0,-408.322971373,-203.144548118,1041.62334034,-203.0,-1e+200,306111320.821,511293.192416,306154237.144
126.0,rerun,203.0,-203.0,-408.322971269,-203.144548096,1041.62333977,-203.0,-1e+200,306134729.2,507934.693403,306101513.394
127.0,rejected,203.0,-203.0,-408.322971182,-203.144548104,1041.62333927,-203.0,-1e+200,305961750.872,329357.911644,305902266.597
