iteration,accepted,SteamGen_capacity,Converter1_capacity,NewBOP_capacity,Charger_capacity,TES_capacity,Convert2_capacity,Grid_capacity,mean_NPV,std_NPV,med_NPV
131.0,rerun,203.0,-203.0,-405.855582029,-200.976811954,768.921025358,-203.0,-1e+200,282999624.348,334902.905152,283040288.009
132.0,rejected,203.0,-203.0,-405.855582041,-200.976811956,768.921025405,-203.0,-1e+200,282620944.308,423716.570876,282723009.459
133.0,rerun,203.0,-203.0,-405.855582029,-200.976811954,768.921025358,-203.0,-1e+200,282719893.3,342505.766228,282694263.195
134.0,rejected,203.0,-203.0,-405.855582041,-200.976811954,768.921025375,-203.0,-1e+200,282573994.702,329144.482099,282584656.477
135.0,rerun,203.0,-203.0,-405.855582029,-200.976811954,768.921025358,-203.0,-1e+200,282839643.478,408744.931567,282961860.468
136.0,accepted,203.0,-203.0,-405.855582025,-200.976811954,768.921025325,-203.0,-1e+200,282904271.229,464720.445489,282855530.186
137.0,rejected,203.0,-203.0,-405.85558202,-200.976811954,768.921025342,-203.0,-1e+200,282706363.797,421042.516899,282704204.211
138.0,rerun,203.0,-203.0,-405.855582025,-200.976811954,768.921025325,-203.0,-1e+200,282618962.711,469627.505801,282518435.599
139.0,rejected,203.0,-203.0,-405.855582026,-200.976811954,768.921025342,-203.0,-1e+200,282626810.588,369212.108791,282620699.53
140.0,rerun,203.0,-203.0,-405.855582025,-200.976811954,768.921025325,-203.0,-1e+200,282689110.185,306626.300287,282642894.161
141.0,accepted,203.0,-203.0,-405.855582027,-200.976811954,768.921025326,-203.0,-1e+200,282850582.909,417576.173443,282856491.155
142.0,rejected,203.0,-203.0,-405.855582026,-200.976811954,768.921025322,-203.0,-1e+200,282733816.252,436340.715263,282785842.397
143.0,rerun,203.0,-203.0,-405.855582027,-200.976811954,768.921025326,-203.0,-1e+200,282770409.75,367342.783247,282784659.526
144.0,rejected,203.0,-203.0,-405.855582028,-200.976811954,768.921025321,-203.0,-1e+200,282548910.788,482030.300364,282532791.831
145.0,rerun,203.0,-203.0,-405.855582027,-200.976811954,768.921025326,-203.0,-1e+200,282729914.032,380735.885051,282693954.756
146.0,rejected,203.0,-203.0,-405.855582026,-200.976811954,768.921025327,-203.0,-1e+200,282621367.084,346745.628953,282615578.067
147.0,rerun,203.0,-203.0,-405.855582027,-200.976811954,768.921025326,-203.0,-1e+200,282879935.014,454230.831566,282944890.994
148.0,accepted,203.0,-203.0,-405.855582027,-200.976811954,768.921025328,-203.0,-1e+200,282905448.518,377069.695093,282959178.855
149.0,rejected,203.0,-203.0,-405.855582027,-200.976811954,768.921025326,-203.0,-1e+200,282786516.432,309993.281328,282766250.829
150.0,rerun,203.0,-203.0,-405.855582027,-200.976811954,768.921025328,-203.0,-1e+200,282864042.83,372283.413875,282750719.37
151.0,rejected,203.0,-203.0,-405.855582027,-200.976811954,768.921025327,-203.0,-1e+200,282834344.5,356516.327214,282772222.669
152.0,rerun,203.0,-203.0,-405.855582027,-200.976811954,768.921025328,-203.0,-1e+200,282764515.242,447162.866584,282833538.803
